HS_size,HS_Head,house_type,wallMaterial,floor_status,waterSupplyRating,securityConsideration,entryRestrictions,insecurityReports,conduciveEnvironment,distanceTown,amenities.schools,amenities.tertiaryEducation,amenities.healthCenters,amenities.socialHalls,amenities.tradeCenters,amenities.worshipCenters,amenities.other,roadState,Which_means_of_transport_do_you_use,employmentStatus,HS_expenditure,jointIncome,rentPrice,currentIssues.currentIssues_header,currentIssues.State_of_the_economy_nd_employment_market,currentIssues.Food_Security_and_nutrition,currentIssues.Affordable_housing,currentIssues.Access_to_affordable_healthcare,homeOwnershipAspire,NGActions,countyActions,enoughtHousing,stayLength,expectMove,expectMove_HS,supportAHProject
3,male,bedsitter,stone,tiled,5,yes,yes,no,8,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,6500,n/a,somewhatProblem,fairlySerious,fairlySerious,somewhatProblem,yes,doMore,doingNothing,notSure,15,notSure,moreThree,yes
1,female,bedsitter,stone,tiled,6,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,6500,n/a,fairlySerious,fairlySerious,fairlySerious,fairlySerious,undecided,doMore,doMore,no,12,notSure,moreThree,yes
2,male,bedsitter,stone,tiled,6,yes,yes,no,8,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,fairlySerious,fairlySerious,fairlySerious,fairlySerious,yes,doMore,doMore,no,6,notSure,withinaYear,yes
1,female,bedsitter,stone,tiled,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,verySerious,somewhatProblem,fairlySerious,verySerious,undecided,doMore,doMore,no,17,notSure,twoThreeYrs,yes
3,male,bedsitter,stone,tiled,6,yes,yes,no,6,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,fairlySerious,verySerious,fairlySerious,verySerious,yes,doMore,doingNothing,notSure,8,notSure,withinaYear,yes
2,female,bedsitter,stone,tiled,5,yes,yes,no,7,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,somewhatProblem,fairlySerious,somewhatProblem,fairlySerious,yes,doMore,doMore,notSure,15,notSure,withinaYear,yes
3,male,bedsitter,stone,tiled,6,yes,yes,no,9,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,10_001_30_000,6500,n/a,verySerious,somewhatProblem,verySerious,somewhatProblem,yes,doMore,doingNothing,no,6,notSure,immediately,maybe
2,male,bedsitter,stone,tiled,7,yes,yes,no,8,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,salaried,501_1000,10_001_30_000,6500,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doingNothing,no,9,no,twoThreeYrs,yes
1,female,singleRoom,blockBrick,tiled,6,yes,no,yes,4,far,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bad,tuktuk,selfEmployed,below500,5001_10_000,3500,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,1,notSure,twoThreeYrs,maybe
4,male,singleRoom,blockBrick,cemented,6,yes,no,no,5,near,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,good,boda,selfEmployed,501_1000,5001_10_000,3500,n/a,verySerious,fairlySerious,somewhatProblem,fairlySerious,yes,doMore,doMore,no,3,no,twoThreeYrs,yes
